"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_heist_arena_dl.sc","heist_base_01_2v2",
"Objects",,,
,"9000",,
,"lunar_mountain_06",,
,,"x","y"
,,"int","int"
,,27867,20542
,"spooky_fog_01",,
,,"x","y"
,,"int","int"
,,-2000,-2500
,,20500,9500
,,-9000,16000
,,18000,-2000
,,12500,34000
,,-6500,36000
,,1000,40500
,"heist_tree_01",,
,,"x","y"
,,"int","int"
,,-6333,33666
,,23900,9083
,"heist_tree_04",,
,,"x","y"
,,"int","int"
,,17000,57002
,,-2500,57500
,"heist_tree_05",,
,,"x","y"
,,"int","int"
,,-10000,17000
,"heist_tree_06",,
,,"x","y"
,,"int","int"
,,25982,27976
,"heist_tree_08",,
,,"x","y"
,,"int","int"
,,6500,55500
,,28500,47500
,,-14000,2500
,,33000,-1000
,"heist_vfx_butterfly_01",,
,,"x","y"
,,"int","int"
,,7500,16500
,,18000,7000
,,4000,33500
,,3000,35500
,"heist_vfx_leaf_01",,
,,"x","y"
,,"int","int"
,,17500,-1500
,"heist_vfx_lightray_01",,
,,"x","y"
,,"int","int"
,,18500,-7000
,"heist_clothing_02",,
,,"x","y"
,,"int","int"
,,20000,27500
,"heist_treetop_blur_01",,
,,"x","y"
,,"int","int"
,,13000,44001
,"heist_treetop_blur_02",,
,,"x","y"
,,"int","int"
,,27309,26666
,"heist_treetop_blur_03",,
,,"x","y"
,,"int","int"
,,-6500,8000
,,-7500,38000
,"electric_vignette_01",,
,,"x","y"
,,"int","int"
,,9278,-916
,"arrow_deco_03",,
,,"x","y"
,,"int","int"
,,17500,17500
,"arrow_deco_04",,
,,"x","y"
,,"int","int"
,,500,17500
,"arrow_deco_02",,
,,"x","y"
,,"int","int"
,,17583,14687
,"arrow_deco_01",,
,,"x","y"
,,"int","int"
,,541,14635
"Background",,,
